id,smoker_pred,smoker_prob
159256,1,0.55569977
159257,0,0.3388912
159258,0,0.42614204
159259,0,0.037128944
159260,1,0.64978474
159261,1,0.9106369
159262,0,0.38265628
159263,0,0.07747982
159264,0,0.10444913
159265,0,0.035531312
159266,1,0.53200066
159267,0,0.11960791
159268,0,0.0049642916
159269,0,0.15335245
159270,0,0.0063030203
159271,1,0.57507616
159272,1,0.75341237
159273,1,0.6941491
159274,0,0.12422642
159275,0,0.3897441
159276,0,0.3177397
159277,1,0.81815475
159278,1,0.6479379
159279,1,0.621019
159280,0,0.0921621
159281,1,0.7359295
159282,1,0.7664168
159283,1,0.59004515
159284,1,0.68554115
159285,0,0.0034162446
159286,1,0.67425257
159287,0,0.013010653
159288,0,0.27298042
159289,1,0.6408223
159290,1,0.5887861
159291,0,0.40511164
159292,0,0.061606828
159293,0,0.16430205
159294,0,0.18533234
159295,1,0.6492762
159296,1,0.7951171
159297,0,0.01120982
159298,0,0.18481521
159299,0,0.0011703746
159300,0,0.02163352
159301,0,0.017787896
159302,0,0.130967
159303,0,0.27670175
159304,0,0.300996
159305,1,0.61257917
159306,1,0.7027385
159307,0,0.16085237
159308,0,0.3966744
159309,0,0.09051578
159310,1,0.5025847
159311,1,0.5405214
159312,0,0.2740751
159313,0,0.48247448
159314,1,0.5498283
159315,1,0.6132416
159316,0,0.019839168
159317,1,0.59837484
159318,0,0.36348563
159319,1,0.7137408
159320,1,0.5865754
159321,0,0.08936352
159322,1,0.647011
159323,1,0.5132036
159324,0,0.14308488
159325,0,0.49069497
159326,1,0.54210657
159327,1,0.62979954
159328,1,0.54857594
159329,0,0.3890697
159330,0,0.021728909
159331,1,0.7317453
159332,0,0.011310538
159333,0,0.0016672306
159334,0,0.29267758
159335,0,0.16668756
159336,0,0.4842736
159337,1,0.8699152
159338,0,0.44392255
159339,1,0.8560618
159340,0,0.48444468
159341,1,0.7199537
159342,1,0.81688976
159343,0,0.45796058
159344,0,0.2504081
159345,0,0.014349475
159346,1,0.54191273
159347,1,0.50534886
159348,1,0.75475454
159349,0,0.0052834856
159350,0,0.018066017
159351,1,0.8172232
159352,0,0.4012404
159353,0,0.410889
159354,0,0.015377236
159355,1,0.87079394
159356,1,0.7784561
159357,1,0.7643234
159358,0,0.31643447
159359,1,0.51706576
159360,0,0.08812063
159361,1,0.7771048
159362,0,0.05780725
159363,1,0.7091294
159364,1,0.72817516
159365,1,0.7888441
159366,0,0.01585218
159367,0,0.36224014
159368,0,0.48187083
159369,1,0.6274052
159370,0,0.37350363
159371,1,0.56450105
159372,0,0.09321183
159373,1,0.6763623
159374,0,0.47881097
